player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Chris Myers,95.63,90.8,94.69,1121.0,Texans,Texans,1,Elite,1,C,Center,2013
Jason Kelce,93.85,87.5,93.91,1154.0,Eagles,Eagles,2,Elite,2,C,Center,2013
Dominic Raiola,93.67,88.1,93.21,1135.0,Lions,Lions,3,Elite,3,C,Center,2013
Travis Frederick,93.04,85.6,93.84,999.0,Cowboys,Cowboys,4,Elite,4,C,Center,2013
John Sullivan,92.02,86.5,91.53,1020.0,Vikings,Vikings,5,Elite,5,C,Center,2013
Alex Mack,91.38,85.5,91.13,1110.0,Browns,Browns,6,Elite,6,C,Center,2013
Evan Smith,89.58,83.5,89.46,1118.0,Packers,Packers,7,Elite,7,C,Center,2013
Will Montgomery,88.33,80.5,89.39,1145.0,Commanders,Commanders,8,Elite,8,C,Center,2013
Jeremy Zuttah,87.36,80.1,88.03,1016.0,Buccaneers,Buccaneers,9,Elite,9,C,Center,2013
Mike Pouncey,85.95,78.31,86.87,901.0,Dolphins,Dolphins,10,Elite,10,C,Center,2013
Ryan Kalil,85.57,77.6,86.71,1071.0,Panthers,Panthers,11,Elite,11,C,Center,2013
Brian De La Puente,85.13,78.0,85.72,1273.0,Saints,Saints,12,Elite,12,C,Center,2013
Nick Hardwick,84.3,76.6,85.26,1135.0,Chargers,Chargers,13,Elite,13,C,Center,2013
Roberto Garza,83.69,75.8,84.79,1059.0,Bears,Bears,14,Elite,14,C,Center,2013
Rodney Hudson,83.24,75.1,84.5,1089.0,Chiefs,Chiefs,15,Elite,15,C,Center,2013
Kyle Cook,83.02,74.8,84.33,1131.0,Bengals,Bengals,16,Elite,16,C,Center,2013
Nick Mangold,82.16,73.2,83.96,1050.0,Jets,Jets,17,Elite,17,C,Center,2013
Eric Wood,81.7,72.2,83.86,1161.0,Bills,Bills,18,Elite,18,C,Center,2013
Scott Wells,81.69,71.13,84.56,739.0,Rams,Rams,19,Elite,19,C,Center,2013
Max Unger,81.28,71.8,83.43,930.0,Seahawks,Seahawks,20,Elite,20,C,Center,2013
Lyle Sendlein,81.0,71.2,83.36,1084.0,Cardinals,Cardinals,21,Elite,21,C,Center,2013
Ryan Wendell,79.88,71.1,81.56,1330.0,Patriots,Patriots,22,Good,1,C,Center,2013
Jonathan Goodwin,79.81,70.6,81.78,1156.0,49ers,49ers,23,Good,2,C,Center,2013
Gino Gradkowski,79.21,69.2,81.72,1136.0,Ravens,Ravens,24,Good,3,C,Center,2013
Brian Schwenke,77.57,66.68,80.66,567.0,Titans,Titans,25,Good,4,C,Center,2013
Tim Barnes,76.56,64.83,80.21,266.0,Rams,Rams,26,Good,5,C,Center,2013
Brad Meester,76.43,67.1,78.48,1058.0,Jaguars,Jaguars,27,Good,6,C,Center,2013
David Baas,76.25,65.31,79.38,143.0,Giants,Giants,28,Good,7,C,Center,2013
Rich Ohrnberger,75.92,64.52,79.35,201.0,Chargers,Chargers,29,Good,8,C,Center,2013
Samson Satele,75.5,66.49,77.34,953.0,Colts,Colts,30,Good,9,C,Center,2013
Jim Cordle,75.41,64.2,78.71,482.0,Giants,Giants,31,Good,10,C,Center,2013
Joe Hawley,75.28,67.99,75.98,539.0,Falcons,Falcons,32,Good,11,C,Center,2013
Robert Turner,70.75,59.81,73.87,394.0,Titans,Titans,33,Starter,1,C,Center,2013
Andre Gurode,70.32,55.12,76.29,275.0,Raiders,Raiders,34,Starter,2,C,Center,2013
Peter Konz,70.12,59.62,72.95,889.0,Falcons,Falcons,35,Starter,3,C,Center,2013
Cody Wallace,68.04,58.65,70.13,288.0,Steelers,Steelers,36,Starter,4,C,Center,2013
Lemuel Jeanpierre,67.34,60.48,67.75,283.0,Seahawks,Seahawks,37,Starter,5,C,Center,2013
Richard Sherman,93.89,90.1,92.67,1166.0,Seahawks,Seahawks,1,Elite,1,CB,Cornerback,2013
Brandon Boykin,92.93,87.75,92.22,657.0,Eagles,Eagles,2,Elite,2,CB,Cornerback,2013
Brent Grimes,88.93,89.4,89.97,1110.0,Dolphins,Dolphins,3,Elite,3,CB,Cornerback,2013
Desmond Trufant,88.91,82.5,89.01,1001.0,Falcons,Falcons,4,Elite,4,CB,Cornerback,2013
Dominique Rodgers-Cromartie,86.51,82.6,85.59,935.0,Broncos,Broncos,5,Elite,5,CB,Cornerback,2013
Darrelle Revis,86.09,83.2,88.22,949.0,Buccaneers,Buccaneers,6,Elite,6,CB,Cornerback,2013
Chris Harris Jr.,85.71,82.7,83.97,1066.0,Broncos,Broncos,7,Elite,7,CB,Cornerback,2013
Tramaine Brock Sr.,85.43,85.3,86.86,840.0,49ers,49ers,8,Elite,8,CB,Cornerback,2013
Byron Maxwell,85.37,82.56,89.95,677.0,Seahawks,Seahawks,9,Elite,9,CB,Cornerback,2013
Alterraun Verner,84.36,79.6,83.36,1002.0,Titans,Titans,10,Elite,10,CB,Cornerback,2013
Tramon Williams,83.07,77.4,82.69,1101.0,Packers,Packers,11,Elite,11,CB,Cornerback,2013
Joe Haden,82.69,77.6,84.2,1052.0,Browns,Browns,12,Elite,12,CB,Cornerback,2013
Keenan Lewis,82.66,76.4,82.66,989.0,Saints,Saints,13,Elite,13,CB,Cornerback,2013
Dimitri Patterson,82.66,76.03,88.54,237.0,Dolphins,Dolphins,14,Elite,14,CB,Cornerback,2013
Patrick Peterson,82.54,80.0,80.07,1075.0,Cardinals,Cardinals,15,Elite,15,CB,Cornerback,2013
Leon Hall,82.05,79.54,87.05,274.0,Bengals,Bengals,16,Elite,16,CB,Cornerback,2013
Vontae Davis,81.88,77.6,82.97,1081.0,Colts,Colts,17,Elite,17,CB,Cornerback,2013
Captain Munnerlyn,81.55,75.9,81.56,1035.0,Panthers,Panthers,18,Elite,18,CB,Cornerback,2013
Jason McCourty,81.15,75.0,81.28,1056.0,Titans,Titans,19,Elite,19,CB,Cornerback,2013
Orlando Scandrick,80.89,80.5,79.16,1089.0,Cowboys,Cowboys,20,Elite,20,CB,Cornerback,2013
Adam Jones,80.65,78.3,79.72,1035.0,Bengals,Bengals,21,Elite,21,CB,Cornerback,2013
Leodis McKelvin,80.39,76.4,82.44,927.0,Bills,Bills,22,Elite,22,CB,Cornerback,2013
Alan Ball,80.34,75.6,82.35,1005.0,Jaguars,Jaguars,23,Elite,23,CB,Cornerback,2013
Nickell Robey-Coleman,80.02,74.59,79.48,608.0,Bills,Bills,24,Elite,24,CB,Cornerback,2013
Johnathan Joseph,79.28,73.8,79.28,833.0,Texans,Texans,25,Good,1,CB,Cornerback,2013
Sam Shields,78.76,71.8,81.0,881.0,Packers,Packers,26,Good,2,CB,Cornerback,2013
Drayton Florence,78.56,73.27,80.94,621.0,Panthers,Panthers,27,Good,3,CB,Cornerback,2013
William Gay,78.11,73.7,76.89,912.0,Steelers,Steelers,28,Good,4,CB,Cornerback,2013
Trumaine McBride,77.98,74.93,81.45,607.0,Giants,Giants,29,Good,5,CB,Cornerback,2013
Lardarius Webb,77.83,74.2,79.22,972.0,Ravens,Ravens,30,Good,6,CB,Cornerback,2013
