player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Chris Myers,95.09,90.0,94.32,1067.0,Texans,Texans,1,Elite,1,C,Center,2010
Nick Mangold,93.95,88.1,93.68,1227.0,Jets,Jets,2,Elite,2,C,Center,2010
Scott Wells,91.24,84.6,91.5,1282.0,Packers,Packers,3,Elite,3,C,Center,2010
Jeff Saturday,87.31,83.9,85.42,1176.0,Colts,Colts,4,Elite,4,C,Center,2010
David Baas,86.25,78.36,87.35,939.0,49ers,49ers,5,Elite,5,C,Center,2010
Kyle Cook,86.07,78.5,86.95,1094.0,Bengals,Bengals,6,Elite,6,C,Center,2010
Ryan Kalil,86.05,78.5,86.91,989.0,Panthers,Panthers,7,Elite,7,C,Center,2010
Matt Birk,86.05,81.0,85.25,1186.0,Ravens,Ravens,8,Elite,8,C,Center,2010
Alex Mack,84.74,75.98,86.41,958.0,Browns,Browns,9,Elite,9,C,Center,2010
Brad Meester,84.53,77.0,85.38,1064.0,Jaguars,Jaguars,10,Elite,10,C,Center,2010
Andre Gurode,83.81,74.0,86.19,1073.0,Cowboys,Cowboys,11,Elite,11,C,Center,2010
Dan Koppen,82.98,74.4,84.54,1080.0,Patriots,Patriots,12,Elite,12,C,Center,2010
Todd McClure,82.85,74.9,83.99,1193.0,Falcons,Falcons,13,Elite,13,C,Center,2010
Samson Satele,79.22,69.47,81.55,979.0,Raiders,Raiders,14,Good,1,C,Center,2010
Jonathan Goodwin,78.26,68.6,80.53,1178.0,Saints,Saints,15,Good,2,C,Center,2010
Nick Hardwick,77.51,67.8,79.81,1050.0,Chargers,Chargers,16,Good,3,C,Center,2010
Maurkice Pouncey,77.36,67.7,79.64,1073.0,Steelers,Steelers,17,Good,4,C,Center,2010
John Sullivan,77.28,67.44,79.67,792.0,Vikings,Vikings,18,Good,5,C,Center,2010
Dominic Raiola,76.28,64.7,79.83,1107.0,Lions,Lions,19,Good,6,C,Center,2010
J.D. Walton,75.63,65.1,78.48,1061.0,Broncos,Broncos,20,Good,7,C,Center,2010
Jeff Faine,73.73,61.66,77.61,432.0,Buccaneers,Buccaneers,21,Starter,1,C,Center,2010
Jeremy Zuttah,73.38,64.71,74.99,721.0,Buccaneers,Buccaneers,22,Starter,2,C,Center,2010
Lyle Sendlein,72.25,63.95,73.61,959.0,Cardinals,Cardinals,23,Starter,3,C,Center,2010
Eugene Amano,66.85,54.58,70.86,706.0,Titans,Titans,24,Starter,4,C,Center,2010
Champ Bailey,91.39,85.8,91.98,966.0,Broncos,Broncos,1,Elite,1,CB,Cornerback,2010
Joe Haden,90.71,83.7,91.22,791.0,Browns,Browns,2,Elite,2,CB,Cornerback,2010
Josh Wilson,89.85,84.18,90.49,652.0,Ravens,Ravens,3,Elite,3,CB,Cornerback,2010
Antoine Winfield,88.64,88.9,84.3,981.0,Vikings,Vikings,4,Elite,4,CB,Cornerback,2010
Darrelle Revis,87.71,81.3,87.82,1013.0,Jets,Jets,5,Elite,5,CB,Cornerback,2010
Tramon Williams,87.39,83.0,86.15,1232.0,Packers,Packers,6,Elite,6,CB,Cornerback,2010
Brandon Flowers,86.35,80.6,86.01,1036.0,Chiefs,Chiefs,7,Elite,7,CB,Cornerback,2010
Brent Grimes,85.59,81.2,84.35,1035.0,Falcons,Falcons,8,Elite,8,CB,Cornerback,2010
Asante Samuel,85.18,80.12,88.55,729.0,Eagles,Eagles,9,Elite,9,CB,Cornerback,2010
Charles Tillman,83.69,77.6,83.59,1165.0,Bears,Bears,10,Elite,10,CB,Cornerback,2010
Nnamdi Asomugha,83.1,77.84,84.53,767.0,Raiders,Raiders,11,Elite,11,CB,Cornerback,2010
Alterraun Verner,82.32,78.3,80.84,997.0,Titans,Titans,12,Elite,12,CB,Cornerback,2010
Jason McCourty,81.25,73.31,86.55,483.0,Titans,Titans,13,Elite,13,CB,Cornerback,2010
Brandon Carr,80.92,73.0,82.03,1133.0,Chiefs,Chiefs,14,Elite,14,CB,Cornerback,2010
Antoine Cason,80.91,72.5,82.35,918.0,Chargers,Chargers,15,Elite,15,CB,Cornerback,2010
Joselio Hanson,80.61,72.11,82.11,694.0,Eagles,Eagles,16,Elite,16,CB,Cornerback,2010
Vontae Davis,80.44,75.4,79.63,1001.0,Dolphins,Dolphins,17,Elite,17,CB,Cornerback,2010
Chris Carr,80.34,78.9,77.14,1131.0,Ravens,Ravens,18,Elite,18,CB,Cornerback,2010
Leon Hall,80.2,75.0,79.5,966.0,Bengals,Bengals,19,Elite,19,CB,Cornerback,2010
Aqib Talib,79.91,72.9,85.62,635.0,Buccaneers,Buccaneers,20,Good,1,CB,Cornerback,2010
DeAngelo Hall,79.83,72.1,80.82,1079.0,Commanders,Commanders,21,Good,2,CB,Cornerback,2010
Jabari Greer,79.51,74.58,79.66,812.0,Saints,Saints,22,Good,3,CB,Cornerback,2010
Captain Munnerlyn,79.48,71.29,80.77,695.0,Panthers,Panthers,23,Good,4,CB,Cornerback,2010
Sean Smith,78.6,70.84,80.64,746.0,Dolphins,Dolphins,24,Good,5,CB,Cornerback,2010
Dunta Robinson,78.34,75.1,76.34,899.0,Falcons,Falcons,25,Good,6,CB,Cornerback,2010
Roy Lewis,77.73,68.86,82.61,263.0,Seahawks,Seahawks,26,Good,7,CB,Cornerback,2010
Ronde Barber,77.62,69.2,79.06,987.0,Buccaneers,Buccaneers,27,Good,8,CB,Cornerback,2010
Nate Clements,77.58,70.5,78.13,1056.0,49ers,49ers,28,Good,9,CB,Cornerback,2010
Sam Shields,77.09,71.05,76.95,803.0,Packers,Packers,29,Good,10,CB,Cornerback,2010
Kelly Jennings,76.81,66.5,79.52,1005.0,Seahawks,Seahawks,30,Good,11,CB,Cornerback,2010
Kelvin Hayden,76.48,74.56,78.8,666.0,Colts,Colts,31,Good,12,CB,Cornerback,2010
Sheldon Brown,74.99,65.9,76.88,890.0,Browns,Browns,32,Good,13,CB,Cornerback,2010
Javier Arenas,74.9,66.86,76.09,502.0,Chiefs,Chiefs,33,Good,14,CB,Cornerback,2010
Syd'Quan Thompson,74.72,66.17,81.45,211.0,Broncos,Broncos,34,Good,15,CB,Cornerback,2010
Perrish Cox,73.96,64.54,77.11,771.0,Broncos,Broncos,35,Starter,1,CB,Cornerback,2010
Johnathan Joseph,73.84,68.66,77.3,595.0,Bengals,Bengals,36,Starter,2,CB,Cornerback,2010
Lardarius Webb,73.75,65.76,74.91,559.0,Ravens,Ravens,37,Starter,3,CB,Cornerback,2010
Phillip Buchanon,73.61,61.77,77.34,720.0,Commanders,Commanders,38,Starter,4,CB,Cornerback,2010
Leodis McKelvin,73.14,64.0,75.06,851.0,Bills,Bills,39,Starter,5,CB,Cornerback,2010
Corey Webster,72.93,64.4,75.48,915.0,Giants,Giants,40,Starter,6,CB,Cornerback,2010
Ronald Bartell,72.91,68.4,72.78,852.0,Rams,Rams,41,Starter,7,CB,Cornerback,2010
Greg Toler,72.68,66.0,75.05,887.0,Cardinals,Cardinals,42,Starter,8,CB,Cornerback,2010
Reggie Corner,72.52,63.97,74.05,462.0,Bills,Bills,43,Starter,9,CB,Cornerback,2010
Terrence McGee,72.52,67.82,78.78,313.0,Bills,Bills,44,Starter,10,CB,Cornerback,2010
Kevin Barnes,72.34,63.2,81.56,269.0,Commanders,Commanders,45,Starter,11,CB,Cornerback,2010
Shawntae Spencer,72.27,65.2,72.82,1021.0,49ers,49ers,46,Starter,12,CB,Cornerback,2010
Tracy Porter,72.12,64.98,75.85,727.0,Saints,Saints,47,Starter,13,CB,Cornerback,2010
Bradley Fletcher,72.09,60.8,75.45,978.0,Rams,Rams,48,Starter,14,CB,Cornerback,2010
Drayton Florence,71.91,60.1,75.61,1063.0,Bills,Bills,49,Starter,15,CB,Cornerback,2010
Tim Jennings,71.66,64.7,72.14,948.0,Bears,Bears,50,Starter,16,CB,Cornerback,2010
William Middleton,71.6,66.18,71.04,447.0,Jaguars,Jaguars,51,Starter,17,CB,Cornerback,2010
Tarell Brown,71.52,65.27,74.65,310.0,49ers,49ers,52,Starter,18,CB,Cornerback,2010
Kyle Wilson,71.4,61.47,74.89,335.0,Jets,Jets,53,Starter,19,CB,Cornerback,2010
E.J. Biggers,71.07,61.53,73.26,669.0,Buccaneers,Buccaneers,54,Starter,20,CB,Cornerback,2010
D.J. Moore,70.72,62.57,71.98,607.0,Bears,Bears,55,Starter,21,CB,Cornerback,2010
Orlando Scandrick,70.18,60.85,72.24,597.0,Cowboys,Cowboys,56,Starter,22,CB,Cornerback,2010
Kyle Arrington,70.12,60.7,72.23,899.0,Patriots,Patriots,57,Starter,23,CB,Cornerback,2010
Terence Newman,69.83,60.6,71.82,877.0,Cowboys,Cowboys,58,Starter,24,CB,Cornerback,2010
Chris Johnson,69.79,60.41,76.04,376.0,Raiders,Raiders,59,Starter,25,CB,Cornerback,2010
Antonio Cromartie,69.06,57.2,72.8,1087.0,Jets,Jets,60,Starter,26,CB,Cornerback,2010
Stanford Routt,68.96,57.0,72.76,980.0,Raiders,Raiders,61,Starter,27,CB,Cornerback,2010
Nathan Vasher,68.82,64.48,70.68,338.0,Lions,Lions,62,Starter,28,CB,Cornerback,2010
Jason Allen,68.72,58.71,73.31,608.0,Texans,Texans,63,Starter,29,CB,Cornerback,2010
Terrell Thomas,68.7,56.7,72.54,986.0,Giants,Giants,64,Starter,30,CB,Cornerback,2010
Brian Williams,68.66,62.74,69.48,386.0,Falcons,Falcons,65,Starter,31,CB,Cornerback,2010
Chris Gamble,68.59,63.9,72.75,710.0,Panthers,Panthers,66,Starter,32,CB,Cornerback,2010
Carlos Rogers,68.59,62.4,72.72,760.0,Commanders,Commanders,67,Starter,33,CB,Cornerback,2010
Andre' Goodman,68.38,61.8,76.93,367.0,Broncos,Broncos,68,Starter,34,CB,Cornerback,2010
Patrick Robinson,68.24,64.22,74.06,283.0,Saints,Saints,69,Starter,35,CB,Cornerback,2010
Jarrett Bush,68.2,58.52,74.66,176.0,Packers,Packers,70,Starter,36,CB,Cornerback,2010
Adam Jones,68.07,65.63,81.5,165.0,Bengals,Bengals,71,Starter,37,CB,Cornerback,2010
Cortland Finnegan,67.89,58.6,69.91,1173.0,Titans,Titans,72,Starter,38,CB,Cornerback,2010
Morgan Trent,67.66,64.7,76.34,202.0,Bengals,Bengals,73,Starter,39,CB,Cornerback,2010
Marcus Trufant,67.64,56.5,70.9,1049.0,Seahawks,Seahawks,74,Starter,40,CB,Cornerback,2010
Jonathan Wilhite,67.47,61.78,74.4,202.0,Patriots,Patriots,75,Starter,41,CB,Cornerback,2010
Jeremy Ware,66.62,62.16,78.84,114.0,Raiders,Raiders,76,Starter,42,CB,Cornerback,2010
