player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
John Sullivan,91.18,84.7,91.34,1096.0,Vikings,Vikings,1,Elite,1,C,Center,2012
Ryan Wendell,91.13,84.9,91.11,1383.0,Patriots,Patriots,2,Elite,2,C,Center,2012
Brian De La Puente,90.98,84.4,91.2,1107.0,Saints,Saints,3,Elite,3,C,Center,2012
Nick Mangold,90.89,84.8,90.79,1066.0,Jets,Jets,4,Elite,4,C,Center,2012
Chris Myers,90.26,84.0,90.26,1284.0,Texans,Texans,5,Elite,5,C,Center,2012
Max Unger,89.6,86.2,87.7,1115.0,Seahawks,Seahawks,6,Elite,6,C,Center,2012
Ryan Lilja,88.95,82.1,89.35,990.0,Chiefs,Chiefs,7,Elite,7,C,Center,2012
Matt Birk,88.77,82.2,88.99,1299.0,Ravens,Ravens,8,Elite,8,C,Center,2012
Alex Mack,88.64,79.7,90.43,1031.0,Browns,Browns,9,Elite,9,C,Center,2012
Jason Kelce,88.17,80.2,89.32,136.0,Eagles,Eagles,10,Elite,10,C,Center,2012
Mike Pouncey,86.56,78.5,87.77,1032.0,Dolphins,Dolphins,11,Elite,11,C,Center,2012
Phil Costa,86.24,78.2,87.44,121.0,Cowboys,Cowboys,12,Elite,12,C,Center,2012
Jonathan Goodwin,86.05,78.8,86.71,1171.0,49ers,49ers,13,Elite,13,C,Center,2012
Will Montgomery,85.62,77.7,86.73,1082.0,Commanders,Commanders,14,Elite,14,C,Center,2012
J.D. Walton,84.86,75.4,87.0,248.0,Broncos,Broncos,15,Elite,15,C,Center,2012
Maurkice Pouncey,83.99,75.6,85.41,930.0,Steelers,Steelers,16,Elite,16,C,Center,2012
Todd McClure,82.36,73.7,83.96,1175.0,Falcons,Falcons,17,Elite,17,C,Center,2012
David Baas,82.36,73.4,84.17,1003.0,Giants,Giants,18,Elite,18,C,Center,2012
Dominic Raiola,81.67,73.1,83.21,1199.0,Lions,Lions,19,Elite,19,C,Center,2012
