player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Creed Humphrey,97.31,91.4,97.08,1184.0,Chiefs,Chiefs,1,Elite,1,C,Center,2021
Corey Linsley,92.83,85.7,93.41,1076.0,Chargers,Chargers,2,Elite,2,C,Center,2021
Jason Kelce,91.93,84.4,92.79,993.0,Eagles,Eagles,3,Elite,3,C,Center,2021
Chase Roullier,89.08,79.51,91.3,490.0,Commanders,Commanders,4,Elite,4,C,Center,2021
Brian Allen,88.54,79.34,90.5,903.0,Rams,Rams,5,Elite,5,C,Center,2021
Frank Ragnow,87.21,78.3,88.98,223.0,Lions,Lions,6,Elite,6,C,Center,2021
J.C. Tretter,86.54,78.7,87.6,1039.0,Browns,Browns,7,Elite,7,C,Center,2021
Matt Hennessy,86.33,76.4,88.78,988.0,Falcons,Falcons,8,Elite,8,C,Center,2021
David Andrews,86.03,78.0,87.22,1087.0,Patriots,Patriots,9,Elite,9,C,Center,2021
Ben Jones,85.95,77.8,87.22,1160.0,Titans,Titans,10,Elite,10,C,Center,2021
Connor McGovern,84.77,75.84,86.56,973.0,Jets,Jets,11,Elite,11,C,Center,2021
Bradley Bozeman,82.05,73.6,83.51,1125.0,Ravens,Ravens,12,Elite,12,C,Center,2021
Ryan Jensen,81.36,69.9,84.84,1151.0,Buccaneers,Buccaneers,13,Elite,13,C,Center,2021
Alex Mack,80.09,70.4,82.38,1088.0,49ers,49ers,14,Elite,14,C,Center,2021
Ethan Pocic,77.88,65.7,81.84,600.0,Seahawks,Seahawks,15,Good,1,C,Center,2021
Tyler Biadasz,77.77,64.8,82.25,1202.0,Cowboys,Cowboys,16,Good,2,C,Center,2021
Mason Cole,77.48,66.71,80.5,471.0,Vikings,Vikings,17,Good,3,C,Center,2021
Evan Brown,76.91,65.95,80.05,755.0,Lions,Lions,18,Good,4,C,Center,2021
Erik McCoy,76.81,63.32,81.64,746.0,Saints,Saints,19,Good,5,C,Center,2021
Matt Paradis,76.55,65.9,79.48,568.0,Panthers,Panthers,20,Good,6,C,Center,2021
Justin Britt,76.31,63.49,80.69,671.0,Texans,Texans,21,Good,7,C,Center,2021
Tyler Larsen,75.35,62.47,79.77,185.0,Commanders,Commanders,22,Good,8,C,Center,2021
Andre James,75.21,64.1,78.45,1139.0,Raiders,Raiders,23,Good,9,C,Center,2021
Lloyd Cushenberry III,75.13,64.2,78.25,1039.0,Broncos,Broncos,24,Good,10,C,Center,2021
Brandon Linder,74.82,62.46,78.89,552.0,Jaguars,Jaguars,25,Good,11,C,Center,2021
Billy Price,74.76,62.3,78.9,985.0,Giants,Giants,26,Good,12,C,Center,2021
Mitch Morse,74.34,63.4,77.47,1167.0,Bills,Bills,27,Good,13,C,Center,2021
Keith Ismael,74.29,63.05,77.62,382.0,Commanders,Commanders,28,Good,14,C,Center,2021
Danny Pinter,73.55,67.04,73.73,226.0,Colts,Colts,29,Starter,1,C,Center,2021
J.C. Hassenauer,73.4,64.08,75.44,277.0,Steelers,Steelers,30,Starter,2,C,Center,2021
Rodney Hudson,73.22,60.85,77.3,798.0,Cardinals,Cardinals,31,Starter,3,C,Center,2021
Garrett Bradbury,73.08,60.19,77.51,883.0,Vikings,Vikings,32,Starter,4,C,Center,2021
Michael Deiter,72.72,60.45,76.73,546.0,Dolphins,Dolphins,33,Starter,5,C,Center,2021
Greg Mancz,72.58,61.25,75.97,185.0,Dolphins,Dolphins,34,Starter,6,C,Center,2021
Scott Quessenberry,72.52,61.72,75.56,115.0,Chargers,Chargers,35,Starter,7,C,Center,2021
Trystan Colon,70.76,61.04,73.08,147.0,Ravens,Ravens,36,Starter,8,C,Center,2021
Tyler Shatley,69.74,60.44,71.78,531.0,Jaguars,Jaguars,37,Starter,9,C,Center,2021
Ryan Kelly,69.56,56.98,73.78,907.0,Colts,Colts,38,Starter,10,C,Center,2021
Will Clapp,68.76,56.28,72.92,133.0,Saints,Saints,39,Starter,11,C,Center,2021
Coleman Shelton,67.4,58.92,68.88,216.0,Rams,Rams,40,Starter,12,C,Center,2021
Sam Tecklenburg,66.94,61.0,66.74,131.0,Panthers,Panthers,41,Starter,13,C,Center,2021
Kendrick Green,66.93,52.44,72.42,975.0,Steelers,Steelers,42,Starter,14,C,Center,2021
Josh Myers,66.93,59.07,68.0,293.0,Packers,Packers,43,Starter,15,C,Center,2021
Sam Mustipher,65.31,51.0,70.69,1121.0,Bears,Bears,44,Starter,16,C,Center,2021
Trey Hopkins,65.28,51.65,70.2,928.0,Bengals,Bengals,45,Starter,17,C,Center,2021
Trey Hill,64.99,56.91,66.21,210.0,Bengals,Bengals,46,Starter,18,C,Center,2021
Kyle Fuller,64.73,50.91,69.78,447.0,Seahawks,Seahawks,47,Starter,19,C,Center,2021
Jimmy Morrissey,63.66,52.32,67.05,258.0,Texans,Texans,48,Starter,20,C,Center,2021
Ryan McCollum,63.41,55.8,64.31,101.0,Lions,Lions,49,Starter,21,C,Center,2021
Jalen Ramsey,88.4,86.3,87.26,1037.0,Rams,Rams,1,Elite,1,CB,Cornerback,2021
J.C. Jackson,86.99,83.0,85.48,944.0,Patriots,Patriots,2,Elite,2,CB,Cornerback,2021
A.J. Terrell,86.88,85.6,84.96,1023.0,Falcons,Falcons,3,Elite,3,CB,Cornerback,2021
Darius Slay,85.98,83.9,84.42,953.0,Eagles,Eagles,4,Elite,4,CB,Cornerback,2021
Chidobe Awuzie,83.92,83.49,84.0,777.0,Bengals,Bengals,5,Elite,5,CB,Cornerback,2021
Marshon Lattimore,83.15,76.4,85.02,999.0,Saints,Saints,6,Elite,6,CB,Cornerback,2021
Rashad Fenton,83.01,78.6,86.04,531.0,Chiefs,Chiefs,7,Elite,7,CB,Cornerback,2021
Kendall Fuller,82.39,78.7,82.84,1004.0,Commanders,Commanders,8,Elite,8,CB,Cornerback,2021
Casey Hayward Jr.,81.56,75.0,82.4,1091.0,Raiders,Raiders,9,Elite,9,CB,Cornerback,2021
Jamel Dean,81.02,75.81,83.18,685.0,Buccaneers,Buccaneers,10,Elite,10,CB,Cornerback,2021
Denzel Ward,80.62,75.9,82.66,855.0,Browns,Browns,11,Elite,11,CB,Cornerback,2021
Artie Burns,80.46,78.4,85.35,254.0,Bears,Bears,12,Elite,12,CB,Cornerback,2021
Stephon Gilmore,80.31,74.83,85.77,304.0,Panthers,Panthers,13,Elite,13,CB,Cornerback,2021
Rasul Douglas,79.85,76.34,81.1,680.0,Packers,Packers,14,Good,1,CB,Cornerback,2021
Mike Hughes,79.59,74.77,82.8,509.0,Chiefs,Chiefs,15,Good,2,CB,Cornerback,2021
Adoree' Jackson,79.37,80.82,81.31,815.0,Giants,Giants,16,Good,3,CB,Cornerback,2021
Avonte Maddox,79.2,75.23,80.88,729.0,Eagles,Eagles,17,Good,4,CB,Cornerback,2021
D.J. Reed,78.23,75.4,80.85,1002.0,Seahawks,Seahawks,18,Good,5,CB,Cornerback,2021
Taron Johnson,78.04,75.2,77.09,877.0,Bills,Bills,19,Good,6,CB,Cornerback,2021
A.J. Green III,78.04,73.99,92.84,176.0,Browns,Browns,20,Good,7,CB,Cornerback,2021
Xavien Howard,78.01,71.1,81.24,1026.0,Dolphins,Dolphins,21,Good,8,CB,Cornerback,2021
Mike Hilton,77.9,73.49,77.93,803.0,Bengals,Bengals,22,Good,9,CB,Cornerback,2021
Jaire Alexander,77.62,72.2,83.75,219.0,Packers,Packers,23,Good,10,CB,Cornerback,2021
Nate Hobbs,77.01,76.7,75.02,837.0,Raiders,Raiders,24,Good,11,CB,Cornerback,2021
Thomas Graham Jr.,76.34,72.24,93.4,112.0,Bears,Bears,25,Good,12,CB,Cornerback,2021
Shaquill Griffin,76.24,71.1,78.63,872.0,Jaguars,Jaguars,26,Good,13,CB,Cornerback,2021
Tavierre Thomas,75.91,74.17,79.3,639.0,Texans,Texans,27,Good,14,CB,Cornerback,2021
Trevon Diggs,75.67,66.7,79.66,1013.0,Cowboys,Cowboys,28,Good,15,CB,Cornerback,2021
Levi Wallace,75.61,70.0,76.44,993.0,Bills,Bills,29,Good,16,CB,Cornerback,2021
Ahkello Witherspoon,75.57,75.05,79.12,368.0,Steelers,Steelers,30,Good,17,CB,Cornerback,2021
Robert Alford,75.22,67.68,78.05,580.0,Cardinals,Cardinals,31,Good,18,CB,Cornerback,2021
Rock Ya-Sin,74.52,70.5,76.14,592.0,Colts,Colts,32,Good,19,CB,Cornerback,2021
Nik Needham,74.5,66.52,77.11,608.0,Dolphins,Dolphins,33,Good,20,CB,Cornerback,2021
Tre'Davious White,74.44,68.32,78.12,630.0,Bills,Bills,34,Good,21,CB,Cornerback,2021
Eric Stokes,74.41,67.6,75.76,934.0,Packers,Packers,35,Good,22,CB,Cornerback,2021
