player,grade,model_grade,stats_grade,snaps,primary_team,teams,rank_overall,tier,rank_in_tier,position_key,position_label,season_year
Travis Frederick,89.55,82.8,89.88,1020.0,Cowboys,Cowboys,1,Elite,1,C,Center,2015
Weston Richburg,86.5,83.3,84.46,1013.0,Giants,Giants,2,Elite,2,C,Center,2015
Corey Linsley,86.31,79.3,86.81,942.0,Packers,Packers,3,Elite,3,C,Center,2015
Ryan Kalil,83.83,76.0,84.89,1193.0,Panthers,Panthers,4,Elite,4,C,Center,2015
Ben Jones,83.78,74.9,85.53,1245.0,Texans,Texans,5,Elite,5,C,Center,2015
Mike Pouncey,83.76,76.2,84.63,786.0,Dolphins,Dolphins,6,Elite,6,C,Center,2015
Matt Paradis,83.28,75.7,84.16,1299.0,Broncos,Broncos,7,Elite,7,C,Center,2015
Rodney Hudson,83.28,73.8,85.43,801.0,Raiders,Raiders,8,Elite,8,C,Center,2015
Jason Kelce,83.23,74.1,85.15,1156.0,Eagles,Eagles,9,Elite,9,C,Center,2015
A.Q. Shipley,82.9,74.7,84.2,155.0,Cardinals,Cardinals,10,Elite,10,C,Center,2015
Nick Mangold,82.58,74.1,84.07,933.0,Jets,Jets,11,Elite,11,C,Center,2015
Jeremy Zuttah,82.57,74.2,83.98,610.0,Ravens,Ravens,12,Elite,12,C,Center,2015
J.C. Tretter,81.38,75.4,81.2,445.0,Packers,Packers,13,Elite,13,C,Center,2015
Stefen Wisniewski,80.96,72.5,82.43,1058.0,Jaguars,Jaguars,14,Elite,14,C,Center,2015
Alex Mack,80.92,71.8,82.84,1103.0,Browns,Browns,15,Elite,15,C,Center,2015
Eric Wood,80.32,71.7,81.9,1075.0,Bills,Bills,16,Elite,16,C,Center,2015
Evan Smith,79.99,71.0,81.81,370.0,Buccaneers,Buccaneers,17,Good,1,C,Center,2015
Max Unger,79.47,70.5,81.28,1154.0,Saints,Saints,18,Good,2,C,Center,2015
Josh LeRibeus,79.03,69.4,81.29,731.0,Commanders,Commanders,19,Good,3,C,Center,2015
Wesley Johnson,77.29,70.7,77.51,170.0,Jets,Jets,20,Good,4,C,Center,2015
Mitch Morse,74.93,68.3,75.18,916.0,Chiefs,Chiefs,21,Good,5,C,Center,2015
Brian Schwenke,74.63,63.0,78.22,303.0,Titans,Titans,22,Good,6,C,Center,2015
James Stone,74.54,66.8,75.54,133.0,Falcons,Falcons,23,Good,7,C,Center,2015
Joe Hawley,74.22,63.8,77.0,981.0,Buccaneers,Buccaneers,24,Good,8,C,Center,2015
Patrick Lewis,74.03,62.7,77.42,723.0,Seahawks,Seahawks,25,Good,9,C,Center,2015
David Andrews,73.07,61.5,76.62,776.0,Patriots,Patriots,26,Starter,1,C,Center,2015
Tony Bergstrom,73.06,68.3,72.07,250.0,Raiders,Raiders,27,Starter,2,C,Center,2015
Russell Bodine,73.02,62.2,76.06,1126.0,Bengals,Bengals,28,Starter,3,C,Center,2015
Will Montgomery,73.01,60.5,77.19,188.0,Bears,Bears,29,Starter,4,C,Center,2015
